3.14159   0   2.0851   1.55607
3.1133   1.9045   2.07748   1.55454
3.10159   -3.03187   2.14934   1.57006
3.09259   -1.93208   2.25108   1.59318
3.08501   -0.979546   2.11705   1.56323
3.07833   -0.127487   1.97619   1.53214
3.07229   0.650411   1.93047   1.52237
3.06673   1.37068   1.99677   1.53671
3.06156   2.04449   2.03434   1.54499
3.05671   2.67983   2.06618   1.55207
3.05211   -3.00055   2.14992   1.57056
3.04774   -2.42575   2.26322   1.59585
3.04356   -1.87536   2.28863   1.60181
3.03956   -1.34651   2.28184   1.59992
3.0357   -0.83685   2.16742   1.5744
3.03198   -0.344421   2.01312   1.54029
3.02838   0.132421   1.92084   1.5202
3.0249   0.595071   1.89609   1.51509
3.02151   1.04473   1.9395   1.52446
3.01821   1.48244   2.00861   1.53923
3.015   1.90911   1.98203   1.53338
3.01187   2.32554   1.99366   1.53586
3.00882   2.73244   2.04241   1.54657
3.00583   3.13043   2.12471   1.56477
3.0029   -2.7631   2.23371   1.58931
3.00004   -2.38128   2.25378   1.59358
2.99723   -2.00684   2.26069   1.59547
2.99448   -1.63936   2.30009   1.60439
2.99177   -1.27847   2.28168   1.5999
2.98911   -0.92382   2.26843   1.59706
2.9865   -0.575094   2.17995   1.57709
2.98393   -0.232004   2.03852   1.546
2.98141   0.105716   1.95048   1.52683
2.97892   0.438313   1.91383   1.5188
2.97646   0.766016   1.92742   1.52194
2.97405   1.08904   1.99223   1.53566
2.97167   1.40757   1.98934   1.53524
2.96932   1.7218   1.95349   1.52727
2.967   2.0319   1.94488   1.52563
2.96471   2.33803   1.96352   1.52951
2.96245   2.64034   2.00908   1.5393
2.96022   2.93897   2.08077   1.55502
2.95801   -3.04913   2.1769   1.57622
2.95583   -2.75747   2.23586   1.58963
2.95368   -2.46911   2.20812   1.58338
2.95155   -2.18395   2.20458   1.58243
2.94944   -1.90187   2.22517   1.58718
2.94736   -1.62278   2.24634   1.59204
2.9453   -1.34659   2.21572   1.58493
2.94326   -1.0732   2.2243   1.58706
2.94124   -0.802537   2.26896   1.59714
2.93924   -0.534509   2.26483   1.59609
2.93726   -0.269045   2.17459   1.57588
2.93529   -0.00606984   2.0653   1.55154
2.93335   0.254485   2.00246   1.53794
2.93142   0.512686   1.98282   1.53389
2.92951   0.768598   2.00552   1.53879
2.92762   1.02228   2.0723   1.55338
2.92575   1.27379   2.00461   1.53825
2.92389   1.52319   1.95581   1.528
2.92204   1.77052   1.92834   1.52207
2.92021   2.01585   1.92209   1.52078
2.9184   2.25921   1.93702   1.52371
2.9166   2.50065   1.97319   1.5317
2.91481   2.74023   2.03072   1.54406
2.91304   2.97798   2.10969   1.56132
2.91128   -3.06924   2.20983   1.58363
2.90953   -2.83501   2.21526   1.58486
2.9078   -2.60249   2.18042   1.57716
2.90608   -2.37164   2.16449   1.57355
2.90437   -2.14243   2.16742   1.5744
2.90267   -1.9148   2.18917   1.5793
2.90099   -1.68874   2.19036   1.57948
2.89932   -1.46422   2.15021   1.5706
2.89765   -1.24119   2.14018   1.56829
2.896   -1.01963   2.15982   1.57244
2.89436   -0.79951   2.20969   1.58361
2.89273   -0.580803   2.27389   1.5983
2.89111   -0.36348   2.27438   1.59838
2.8895   -0.147515   2.27988   1.59963
2.88791   0.0671175   2.20052   1.58183
2.88632   0.280443   2.13892   1.56811
2.88474   0.492485   2.1182   1.5634
2.88317   0.703267   2.13724   1.56744
2.88161   0.912812   2.14157   1.5685
2.88005   1.12114   2.05924   1.55024
2.87851   1.32828   1.99545   1.53652
2.87698   1.53424   1.94989   1.52675
2.87545   1.73905   1.92219   1.52079
2.87393   1.94273   1.91203   1.51855
2.87243   2.14529   1.91929   1.51998
2.87093   2.34676   1.94406   1.52551
2.86943   2.54715   1.98666   1.53445
2.86795   2.74648   2.04761   1.54773
2.86647   2.94477   2.12753   1.5656
2.865   -3.14115   2.22703   1.58746
2.86354   -2.9449   2.21833   1.58574
2.86209   -2.74964   2.17436   1.57584
2.86064   -2.55537   2.14603   1.56957
2.8592   -2.36205   2.13321   1.56685
2.85777   -2.16969   2.13578   1.56723
2.85634   -1.97826   2.15374   1.57112
2.85493   -1.78775   2.16589   1.57375
2.85351   -1.59815   2.11302   1.56222
2.85211   -1.40944   2.08498   1.55605
2.85071   -1.22162   2.08081   1.55503
2.84932   -1.03466   2.10031   1.55953
2.84793   -0.848564   2.14409   1.56928
2.84656   -0.663309   2.21353   1.5846
2.84518   -0.478888   2.28835   1.60133
2.84382   -0.295288   2.29097   1.60215
2.84246   -0.112498   2.29785   1.60362
2.8411   0.0694926   2.30888   1.60614
2.83975   0.250695   2.32381   1.60969
